overage_class,label,multi_ingredient_pct,single_ingredient_pct,gummy_multi_pct,gummy_single_pct,source,notes
vitamin_a,Vitamin A,35,10,35,10,R&D Overage Guidelines,
beta_carotene,Beta Carotene (Carotenoids),15,10,50,20,R&D Overage Guidelines,
thiamine,Vitamin B1 (Thiamine),30,10,40,20,R&D Overage Guidelines,
riboflavin,Vitamin B2 (Riboflavin),15,10,20,10,R&D Overage Guidelines,
niacin,Vitamin B3 (Niacin),20,10,20,10,R&D Overage Guidelines,
pantothenic_acid,Vitamin B5 (Pantothenic Acid),20,10,20,10,R&D Overage Guidelines,
vitamin_b6,Vitamin B6 (Pyridoxine),30,20,30,20,R&D Overage Guidelines,
biotin,Biotin,30,10,30,10,R&D Overage Guidelines,
folate,Folate,40,20,40,20,R&D Overage Guidelines,
vitamin_c,Vitamin C,20,10,40,30,R&D Overage Guidelines,
vitamin_d,Vitamin D,35,20,40,20,R&D Overage Guidelines,
vitamin_e,Vitamin E,10,5,20,10,R&D Overage Guidelines,
vitamin_k,Vitamin K,50,30,50,30,R&D Overage Guidelines,
calcium_magnesium,"Calcium, Magnesium, Zinc, Iron, Boron",2,2,10,5,R&D Overage Guidelines,
iodine,Iodine,2,2,20,10,R&D Overage Guidelines,
trace_minerals,"Chromium, Copper, Manganese, Molybdenum, Selenium,",5,2,10,5,R&D Overage Guidelines,
amino_acids,"Alanine, Arginine, Asparagine, Aspartic Acid, Cysteine, Glutamic Acid, Glutamine, Glycine, Histidine, Isoleucine, Leucine, Lysine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tryptophan, Tyrosine, Valine",3,3,10,10,R&D Overage Guidelines,
botanical_powder,Botanical Powders,1,1,5,5,R&D Overage Guidelines,
botanical_extract,Botanical Extracts (Standardized),5,5,10,10,R&D Overage Guidelines,
alpha_lipoic_acid,Alpha Lipoic Acid,10,10,15,10,R&D Overage Guidelines,
coq10,CoQ10 (Ubiquinone),10,5,25,10,R&D Overage Guidelines,
ubiquinol,CoQ10 (Ubiquinol),10,5,40,20,R&D Overage Guidelines,*Kaneka Ubiquinol not recommended in a gummy format
lutein,Lutein,20,10,30,10,R&D Overage Guidelines,
lycopene,Lycopene,10,5,40,20,R&D Overage Guidelines,
melatonin,Melatonin,10,5,30,15,R&D Overage Guidelines,
probiotic_spore,Spore Forming,20,10,,,R&D Overage Guidelines,
probiotic_non_spore,Non-Spore Forming,70,50,,,R&D Overage Guidelines,
enzyme,Enzymes,20,10,50,30,R&D Overage Guidelines,
iron,"Calcium, Magnesium, Zinc, Iron, Boron",2,2,10,5,R&D Overage Guidelines,"Priced from R&D's 'Calcium, Magnesium, Zinc, Iron, Boron' row."
mineral_salt,"Calcium, Magnesium, Zinc, Iron, Boron",2,2,10,5,R&D Overage Guidelines,"Priced from R&D's 'Calcium, Magnesium, Zinc, Iron, Boron' row."
probiotic,Non-Spore Forming,70,50,,,R&D Overage Guidelines,"Priced from R&D's 'Non-Spore Forming' row - the higher of its two probiotic rows, applied when the strain type is not stated."
vitamin_b12,Vitamin B12,30,25,,,NOT IN R&D GUIDELINE - placeholder,Confirm with R&D; quotes using this class say where it came from.
omega_oil,Omega oils,10,8,,,NOT IN R&D GUIDELINE - placeholder,Confirm with R&D; quotes using this class say where it came from.
excipient,"Excipients, flow agents, fillers",2,2,,,NOT IN R&D GUIDELINE - placeholder,Confirm with R&D; quotes using this class say where it came from.
default,Applied when a class cannot be determined,5,5,,,NOT IN R&D GUIDELINE - placeholder,Confirm with R&D; quotes using this class say where it came from.
