part_number,description,uom,latest_unit_cost,min_unit_cost_ever,max_unit_cost_ever,latest_po_date,latest_vendor,unique_vendor_count,po_count
RM-1042,Mega Natural-BP Grape Seed Extract Powder,KG,310.00,268.00,341.00,2025-07-23,Polyphenolics,1,6
RM-1050,Grape Seed Extract 95% OPC,KG,88.50,74.00,96.25,2026-06-11,Nutra Botanica,3,14
RM-2210,Coenzyme Q10 Ubiquinone USP Powder,KG,372.50,152.50,525.00,2026-05-28,Kaneka Americas,2,19
RM-2215,Ubiquinol CoQ10 Kaneka QH,KG,910.00,860.00,975.00,2026-04-02,Kaneka Americas,1,4
RM-2301,Garlic Powder 4:1 Allium Sativum,KG,24.80,19.50,28.00,2026-07-14,Herb Source Intl,3,22
RM-2410,Turmeric Extract 95% Curcuminoids,KG,64.00,52.00,71.50,2026-08-05,Sabinsa,2,17
RM-2415,Turmeric Root Powder Organic,KG,12.40,9.80,14.20,2026-06-30,Herb Source Intl,4,26
RM-3320,Milk Thistle Extract 80% Silymarin,KG,78.00,66.00,84.00,2026-07-02,Nutra Botanica,2,11
RM-3340,Ashwagandha Extract KSM-66 5% Withanolides,KG,132.00,118.00,145.00,2026-08-18,Ixoreal,1,9
RM-3341,Ashwagandha Extract Sensoril 10% Withanolides,KG,178.00,160.00,190.00,2026-05-09,Natreon,1,5
RM-3350,Ashwagandha Root Powder Organic,KG,21.00,17.50,24.00,2026-07-21,Herb Source Intl,3,13
RM-3360,Green Tea Extract 50% EGCG,KG,96.00,80.00,112.00,2026-06-17,Nutra Botanica,3,15
RM-3370,Saw Palmetto Extract 45% Fatty Acids,KG,168.00,140.00,205.00,2026-04-22,Valensa,2,8
RM-3380,Bacopa Monnieri Extract Bacognize 10%,KG,142.00,128.00,158.00,2026-03-30,Verdure Sciences,1,6
RM-3390,Rhodiola Rosea Extract 3% Rosavins,KG,188.00,165.00,210.00,2026-05-14,Nutra Botanica,2,7
