identity_a,identity_b,reason
garlic powder,turmeric powder,Distinct botanicals - must never be substituted
aged garlic extract,turmeric extract,Distinct botanicals - must never be substituted
red yeast rice,red clover extract,Distinct botanicals with similar names
glucosamine sulfate,glucosamine hcl,Distinct salt forms with different elemental basis
gelatin capsule shell,vegetable capsule shell,Distinct capsule materials - dietary claim impact
coenzyme q10,ubiquinol,Distinct oxidation states priced differently
turmeric powder,turmeric extract,Powder and standardized extract are not interchangeable
ashwagandha powder,ashwagandha extract,Powder and standardized extract are not interchangeable
magnesium oxide,magnesium glycinate,Distinct salt forms with different elemental magnesium
magnesium oxide,magnesium citrate,Distinct salt forms with different elemental magnesium
zinc oxide,zinc picolinate,Distinct salt forms with different elemental zinc
