key,potency_factor,basis,notes
RM-1042,1.0,as-is,Mega Natural-BP grape extract assayed as total material
RM-2210,1.0,as-is,CoQ10 ubiquinone 100 percent
RM-3315,0.001,mcg per mg,Vitamin K2 MK-7 1500 mcg per gram premix
RM-4408,0.05,5 percent,Lutein 5 percent beadlet
RM-5501,0.60,elemental,Magnesium oxide elemental magnesium
RM-5502,0.16,elemental,Magnesium citrate elemental magnesium
RM-5503,0.14,elemental,Magnesium glycinate elemental magnesium
RM-6601,0.40,elemental,Calcium carbonate elemental calcium
RM-7701,0.80,elemental,Zinc oxide elemental zinc
RM-7702,0.20,elemental,Zinc picolinate elemental zinc
RM-8801,0.01,1 percent,Biotin 1 percent trituration
RM-8802,0.01,1 percent,Vitamin B12 1 percent trituration
RM-8803,0.00025,IU basis,Vitamin D3 100000 IU per gram
RM-9901,1.0,as-is,Black pepper extract 95 percent piperine
